warehouse,total_orders,date,Month,Day,PartOfMonth,DayName,MonthName
EW2,1010,2021-10-29,10,6,2nd-half-oct,Friday-Weekday,october
EW1,437,2021-10-30,10,7,2nd-half-oct,Saturday-Weekend,october
EW2,1451,2021-10-30,10,7,2nd-half-oct,Saturday-Weekend,october
EW1,494,2021-10-31,10,1,2nd-half-oct,Sunday-Weekend,october
EW2,1543,2021-10-31,10,1,2nd-half-oct,Sunday-Weekend,october
EW1,441,2021-11-01,11,2,1st half- nov,Monday-Weekday,november
EW2,1423,2021-11-01,11,2,1st half- nov,Monday-Weekday,november
EW1,398,2021-11-02,11,3,1st half- nov,Tuesday-Weekday,november
EW2,1728,2021-11-02,11,3,1st half- nov,Tuesday-Weekday,november
EW1,391,2021-11-03,11,4,1st half- nov,Wednesday-Weekday,november
EW2,1414,2021-11-03,11,4,1st half- nov,Wednesday-Weekday,november
EW1,386,2021-11-04,11,5,1st half- nov,Thursday-Weekday,november
EW2,1490,2021-11-04,11,5,1st half- nov,Thursday-Weekday,november
EW1,375,2021-11-05,11,6,1st half- nov,Friday-Weekday,november
EW2,1067,2021-11-05,11,6,1st half- nov,Friday-Weekday,november
EW1,441,2021-11-06,11,7,1st half- nov,Saturday-Weekend,november
EW2,1591,2021-11-06,11,7,1st half- nov,Saturday-Weekend,november
EW1,421,2021-11-07,11,1,1st half- nov,Sunday-Weekend,november
EW2,1696,2021-11-07,11,1,1st half- nov,Sunday-Weekend,november
EW1,526,2021-11-08,11,2,1st half- nov,Monday-Weekday,november
EW2,1537,2021-11-08,11,2,1st half- nov,Monday-Weekday,november
